Fecha Creación,Mesa,Negocio,No. Factura,Total,Categoría,Producto,Precio de venta,Cantidad,Total,Total Bruto,Impuesto,Valor Descuentos,Promoción,Valor Neto,Costo Promedio,Margen de utilidad ($),Margen de utilidad (%)
22/6/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM286,"$72,000.00",Toppings,Topping o salsa generico,"$2,500.00",1,"$2,500.00","$2,314.81",INC,$0.00,$0.00,"$2,314.81",$900.00,"$1,414.81",61.12
22/6/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM286,"$72,000.00",Helados,Monki - Mediano,"$13,900.00",5,"$69,500.00","$64,351.85",INC,$0.00,$0.00,"$64,351.85","$15,002.15","$49,349.70",76.69
4/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM4565,"$71,600.00",Helados,Monki - Grande,"$17,900.00",4,"$71,600.00","$66,296.30",INC,$0.00,$0.00,"$66,296.30","$14,451.32","$51,844.98",78.20
8/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM4765,"$71,600.00",Helados,Monki - Grande,"$17,900.00",4,"$71,600.00","$66,296.30",INC,$0.00,$0.00,"$66,296.30","$14,451.32","$51,844.98",78.20
6/7/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM1069,"$71,000.00",Helados,Monki - Pequeno,"$10,900.00",2,"$21,800.00","$20,185.19",INC,$0.00,$0.00,"$20,185.19","$3,793.66","$16,391.53",81.21
6/7/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM1069,"$71,000.00",Toppings,Topping o salsa generico,"$2,500.00",3,"$7,500.00","$6,944.44",INC,$0.00,$0.00,"$6,944.44","$2,700.00","$4,244.44",61.12
6/7/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM1069,"$71,000.00",Helados,Monki - Mediano,"$13,900.00",3,"$41,700.00","$38,611.11",INC,$0.00,$0.00,"$38,611.11","$9,001.29","$29,609.82",76.69
3/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM1534,"$70,100.00",Helados,Monki - Mediano,"$13,900.00",1,"$13,900.00","$12,870.37",INC,$0.00,$0.00,"$12,870.37","$3,000.43","$9,869.94",76.69
3/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM1534,"$70,100.00",Helados,Hielo - Mediano,"$12,900.00",3,"$38,700.00","$35,833.33",INC,$0.00,$0.00,"$35,833.33","$7,087.29","$28,746.04",80.22
3/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM1534,"$70,100.00",Toppings,Topping o salsa generico,"$2,500.00",7,"$17,500.00","$16,203.70",INC,$0.00,$0.00,"$16,203.70","$6,300.00","$9,903.70",61.12
16/8/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM2219,"$70,000.00",Toppings,Topping o salsa generico,"$2,500.00",1,"$2,500.00","$2,314.81",INC,$0.00,$0.00,"$2,314.81",$900.00,"$1,414.81",61.12
